Term ,High School Name,High School CEEB,City,County,Zip Code,Total Attending SUNY Institutions,Attending SUNY Doctoral Institutions,Attending SUNY Comprehensive Colleges,Attending SUNY Technology Colleges,Attending SUNY Community Colleges,Location 1
Fall 2017,Avenues New York,333776,New York,New York,10001,<4,<4,0,0,0,
Fall 2017,Saint Michael Academy,333995,New York,New York,10001,<4,0,0,0,<4,"New York 100012687, NY
(40.71455046700004, -74.00711668399998)"
Fall 2015,Saint Michael Academy,333995,New York,New York,10001,<4,0,0,0,<4,"New York 100012687, NY
(40.71455046700004, -74.00711668399998)"
Fall 2014,Saint Michael Academy,333995,New York,New York,10001,<4,0,0,0,<4,"New York 100012687, NY
(40.71455046700004, -74.00711668399998)"
Fall 2013,Saint Michael Academy,333995,New York,New York,10001,<4,0,0,0,<4,"New York 100012687, NY
(40.71455046700004, -74.00711668399998)"
Fall 2011,Saint Michael Academy,333995,New York,New York,10001,<4,<4,0,0,<4,"New York 100012687, NY
(40.71455046700004, -74.00711668399998)"
Fall 2010,Saint Michael Academy,333995,New York,New York,10001,8,0,<4,<4,<4,"New York 100012687, NY
(40.71455046700004, -74.00711668399998)"
Fall 2017,Satellite Academy High School,334034,New York,New York,10001,<4,0,0,0,<4,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2016,Satellite Academy High School,334034,New York,New York,10001,<4,0,0,0,<4,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2015,Satellite Academy High School,334034,New York,New York,10001,6,0,0,<4,4,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2014,Satellite Academy High School,334034,New York,New York,10001,4,0,<4,0,<4,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2013,Satellite Academy High School,334034,New York,New York,10001,<4,0,0,0,<4,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2012,Satellite Academy High School,334034,New York,New York,10001,10,0,<4,0,9,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2011,Satellite Academy High School,334034,New York,New York,10001,4,0,<4,0,<4,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2010,Satellite Academy High School,334034,New York,New York,10001,<4,0,<4,0,<4,"New York 100014002, NY
(40.747650770000064, -73.99066114799996)"
Fall 2017,Bard High School Early College,330566,New York,New York,10002,21,16,5,0,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2016,Bard High School Early College,330566,New York,New York,10002,28,18,8,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,Bard High School Early College,330566,New York,New York,10002,25,17,8,0,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,Bard High School Early College,330566,New York,New York,10002,30,15,14,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,Bard High School Early College,330566,New York,New York,10002,16,<4,12,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,Bard High School Early College,330566,New York,New York,10002,21,15,6,0,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
