Term ,High School Name,High School CEEB,City,County,Zip Code,Total Attending SUNY Institutions,Attending SUNY Doctoral Institutions,Attending SUNY Comprehensive Colleges,Attending SUNY Technology Colleges,Attending SUNY Community Colleges,Location 1
Fall 2017,Academy Of The Holy Names,330025,Albany,Albany,12208,8,<4,<4,0,<4,"Albany, NY 12208
(42.65587681300008, -73.79618726499996)"
Fall 2014,Albany High School,330041,Albany,Albany,12203,195,14,28,<4,151,"Albany, NY 12203
(42.68020884300006, -73.83225950099995)"
Fall 2011,Christian Brothers Academy,330050,Albany,Albany,12205,29,7,8,0,14,"Albany, NY 12205
(42.71467777200007, -73.82180976199999)"
Fall 2014,Neil Hellman School,330066,Albany,Albany,12208,<4,0,0,0,<4,"Albany, NY 12208
(42.65587681300008, -73.79618726499996)"
Fall 2012,Berne - Knox - Westerlo Hs,330415,Berne,Albany,12023,45,4,7,10,24,"Berne 120239702, NY
(42.62505137200003, -74.13924865699994)"
Fall 2016,Heatly Jr - Sr High School,332180,Green Island,Albany,12183,8,<4,0,0,7,"Green Island 121831293, NY
(42.74610017800006, -73.69016094299997)"
Fall 2015,Loudonville Christian School,332923,Loudonville,Albany,12211,7,<4,0,0,6,"Loudonville, NY 12211
(42.70560974600005, -73.76847916499997)"
Fall 2014,Tech Valley High School,334898,Albany,Albany,12203,12,0,0,<4,11,"Albany, NY 12203
(42.68020884300006, -73.83225950099995)"
Fall 2011,Watervliet Jr - Sr High School,335830,Watervliet,Albany,12189,57,0,<4,<4,53,"Watervliet, NY 12189
(42.72864696500005, -73.71175946299996)"
Fall 2017,Belfast Central School,330375,Belfast,Allegany,14711,11,<4,<4,6,<4,"Belfast, NY 14711
(42.335519557000055, -78.12156637499999)"
Fall 2015,Canaseraga High School,331200,Canaseraga,Allegany,14822,8,0,0,<4,5,"Canaseraga, NY 14822
(42.437818367000034, -77.82151767499994)"
Fall 2013,Friendship Central School,332015,Friendship,Allegany,14739,12,0,<4,4,7,"Friendship, NY 14739
(42.18809786500003, -78.14489905499994)"
